Park,Timepoint,Year,Abundance_per_kg,Richness,BrayCurtis_BetweenPark,Shannon_WholePark,Name,Urban_Kmeans_Cluster,MedianIncome,Municipality,Distance.From.CityCenter(km),Park_Area(m2),Perimeter-Area_ratio,Population_Density_in_Surrounding_Area,Imperviousness_in_500m_boundary,Spring2021_MoisturePercent,Soil_Water_Holding_Capacity,BD_mean,Soil_Nitrogen_Percentage,Soil_Carbon_Percentage,Soil_pH,MedianResidentAge
1,Fall,2021,226.351574,35,0,2.17354469,AqueductPark,High_Urban,23456,City of Rochester,0.22,1769,0.110231769,6439.3,74.8008341999999,20.47690488,26.650831353919248,1.391469432,0.2865956,3.316867,7.62,29.9
1,Fall,2022,0,0,1,0,AqueductPark,High_Urban,23456,City of Rochester,0.22,1769,0.110231769,6439.3,74.8008341999999,20.47690488,26.650831353919248,1.391469432,0.2865956,3.316867,7.62,29.9
1,Spring,2021,241.7872015,22,0.504477555,2.228308391,AqueductPark,High_Urban,23456,City of Rochester,0.22,1769,0.110231769,6439.3,74.8008341999999,20.47690488,26.650831353919248,1.391469432,0.2865956,3.316867,7.62,29.9
1,Spring,2022,152.401203,39,0.370497816,2.437533529,AqueductPark,High_Urban,23456,City of Rochester,0.22,1769,0.110231769,6439.3,74.8008341999999,20.47690488,26.650831353919248,1.391469432,0.2865956,3.316867,7.62,29.9
2,Fall,2021,161.2558165,46,0.472579578,3.005584093,BrowncrowftRoseGardenPark,High_Urban,58341,City of Rochester,5.23,5429,0.060416283,4968.5,27.60877955,22.28445592,27.470355731225293,1.280530592,0.2916181,3.953432,7.17,40.4
2,Fall,2022,166.5876098,41,0.654839068,2.714562434,BrowncrowftRoseGardenPark,High_Urban,58341,City of Rochester,5.23,5429,0.060416283,4968.5,27.60877955,22.28445592,27.470355731225293,1.280530592,0.2916181,3.953432,7.17,40.4
2,Spring,2021,179.4694925,34,0.464785625,2.35156585,BrowncrowftRoseGardenPark,High_Urban,58341,City of Rochester,5.23,5429,0.060416283,4968.5,27.60877955,22.28445592,27.470355731225293,1.280530592,0.2916181,3.953432,7.17,40.4
2,Spring,2022,101.8064328,39,0.825406303,2.886052276,BrowncrowftRoseGardenPark,High_Urban,58341,City of Rochester,5.23,5429,0.060416283,4968.5,27.60877955,22.28445592,27.470355731225293,1.280530592,0.2916181,3.953432,7.17,40.4
3,Fall,2021,101.6364318,28,0.596604863,1.927992325,BrownSquarePark,High_Urban,12977,City of Rochester,1.36,17197,0.031982322,1751.5,66.2523234199999,13.68643826,25.99711677078327,1.479040438,0.2640913,6.319005,7.5,25.6
3,Fall,2022,217.6650053,32,0.600849317,1.805134855,BrownSquarePark,High_Urban,12977,City of Rochester,1.36,17197,0.031982322,1751.5,66.2523234199999,13.68643826,25.99711677078327,1.479040438,0.2640913,6.319005,7.5,25.6
3,Spring,2021,125.9429858,24,0.570089622,2.193922203,BrownSquarePark,High_Urban,12977,City of Rochester,1.36,17197,0.031982322,1751.5,66.2523234199999,13.68643826,25.99711677078327,1.479040438,0.2640913,6.319005,7.5,25.6
3,Spring,2022,104.0651565,38,0.686182074,2.890122836,BrownSquarePark,High_Urban,12977,City of Rochester,1.36,17197,0.031982322,1751.5,66.2523234199999,13.68643826,25.99711677078327,1.479040438,0.2640913,6.319005,7.5,25.6
4,Fall,2021,154.82529,50,0.724286838,3.225727374,BucklandPark,Low_Urban,38902,City of Brighton,5.1,429755,0.006283394,815.6,23.0545094199999,10.13843641,29.686746987951807,1.301354464,0.337419,4.171235,7.26,22.1
4,Fall,2022,471.6522145,50,0.821258252,2.905146665,BucklandPark,Low_Urban,38902,City of Brighton,5.1,429755,0.006283394,815.6,23.0545094199999,10.13843641,29.686746987951807,1.301354464,0.337419,4.171235,7.26,22.1
4,Spring,2021,184.9903943,41,0.681528784,2.5381706,BucklandPark,Low_Urban,38902,City of Brighton,5.1,429755,0.006283394,815.6,23.0545094199999,10.13843641,29.686746987951807,1.301354464,0.337419,4.171235,7.26,22.1
4,Spring,2022,113.1693955,26,0.619310168,2.146526921,BucklandPark,Low_Urban,38902,City of Brighton,5.1,429755,0.006283394,815.6,23.0545094199999,10.13843641,29.686746987951807,1.301354464,0.337419,4.171235,7.26,22.1
6,Fall,2021,77.15987033,38,0.647921691,2.881700249,CurtisPointPark,High_Urban,32144,City of Rochester,4.35,238966,0.009805537,5711.2,32.2463614699999,12.50293911,28.203883495145636,1.340328002,0.2263591,3.355071,7.63,26.5
6,Fall,2022,277.486235,46,0.334162613,2.40985074,CurtisPointPark,High_Urban,32144,City of Rochester,4.35,238966,0.009805537,5711.2,32.2463614699999,12.50293911,28.203883495145636,1.340328002,0.2263591,3.355071,7.63,26.5
6,Spring,2021,158.3702868,35,0.522948199,2.648149539,CurtisPointPark,High_Urban,32144,City of Rochester,4.35,238966,0.009805537,5711.2,32.2463614699999,12.50293911,28.203883495145636,1.340328002,0.2263591,3.355071,7.63,26.5
6,Spring,2022,136.2764703,33,0.601908361,2.286466778,CurtisPointPark,High_Urban,32144,City of Rochester,4.35,238966,0.009805537,5711.2,32.2463614699999,12.50293911,28.203883495145636,1.340328002,0.2263591,3.355071,7.63,26.5
7,Fall,2021,128.422985,35,0.597057147,2.480180385,EllisonPark,Low_Urban,63718,Monroe County,7.71,172324,0.010720155,763.4,2.40217391299999,17.85795651,29.275362318840575,1.409713027,0.2241867,3.28027,7.43,47.5
7,Fall,2022,215.7218365,41,0.42421594,2.464783686,EllisonPark,Low_Urban,63718,Monroe County,7.71,172324,0.010720155,763.4,2.40217391299999,17.85795651,29.275362318840575,1.409713027,0.2241867,3.28027,7.43,47.5
7,Spring,2021,225.9775818,45,0.768216129,2.819821578,EllisonPark,Low_Urban,63718,Monroe County,7.71,172324,0.010720155,763.4,2.40217391299999,17.85795651,29.275362318840575,1.409713027,0.2241867,3.28027,7.43,47.5
7,Spring,2022,152.3611348,39,0.729051365,2.603195179,EllisonPark,Low_Urban,63718,Monroe County,7.71,172324,0.010720155,763.4,2.40217391299999,17.85795651,29.275362318840575,1.409713027,0.2241867,3.28027,7.43,47.5
8,Fall,2021,121.995844,42,0.579373806,2.895879114,FarmigtonPark,High_Urban,48350,City of Rochester,4.43,14140,0.035643564,9748.4,44.12625801,24.00459317,27.47768905589479,1.481944586,0.3308593,3.768868,6.9,28.5
8,Fall,2022,203.7707258,46,0.468598634,2.605097765,FarmigtonPark,High_Urban,48350,City of Rochester,4.43,14140,0.035643564,9748.4,44.12625801,24.00459317,27.47768905589479,1.481944586,0.3308593,3.768868,6.9,28.5
8,Spring,2021,142.1842158,30,0.64759197,2.33482505,FarmigtonPark,High_Urban,48350,City of Rochester,4.43,14140,0.035643564,9748.4,44.12625801,24.00459317,27.47768905589479,1.481944586,0.3308593,3.768868,6.9,28.5
8,Spring,2022,81.80595025,37,0.83102263,2.885326199,FarmigtonPark,High_Urban,48350,City of Rochester,4.43,14140,0.035643564,9748.4,44.12625801,24.00459317,27.47768905589479,1.481944586,0.3308593,3.768868,6.9,28.5
10,Fall,2021,51.1601085,16,0.703618654,1.905686947,KodakLotGreenery,High_Urban,15061,City of Rochester,1.39,106234.92,0.015904093,1751.5,65.67829706,10.60760614,27.47635639621702,1.177986718,0.2104639,3.611562,7.59,25.6
10,Fall,2022,89.1635895,36,0.671558486,2.692532072,KodakLotGreenery,High_Urban,15061,City of Rochester,1.39,106234.92,0.015904093,1751.5,65.67829706,10.60760614,27.47635639621702,1.177986718,0.2104639,3.611562,7.59,25.6
10,Spring,2021,282.6907785,33,0.701066426,1.756261691,KodakLotGreenery,High_Urban,15061,City of Rochester,1.39,106234.92,0.015904093,1751.5,65.67829706,10.60760614,27.47635639621702,1.177986718,0.2104639,3.611562,7.59,25.6
10,Spring,2022,173.9413255,37,0.606551199,2.434773832,KodakLotGreenery,High_Urban,15061,City of Rochester,1.39,106234.92,0.015904093,1751.5,65.67829706,10.60760614,27.47635639621702,1.177986718,0.2104639,3.611562,7.59,25.6
11,Fall,2021,333.4226445,26,0.746228942,0.819002788,GrandAvePark,High_Urban,21667,City of Rochester,2.95,10236.38,0.04745916,11371,54.6981044799999,8.381648426,27.057710501419113,1.254576371,0.2361325,2.962252,7.55,24.3
11,Fall,2022,300.146321,35,0.684289839,1.649276568,GrandAvePark,High_Urban,21667,City of Rochester,2.95,10236.38,0.04745916,11371,54.6981044799999,8.381648426,27.057710501419113,1.254576371,0.2361325,2.962252,7.55,24.3
11,Spring,2021,177.1649475,28,0.66095557,1.371462604,GrandAvePark,High_Urban,21667,City of Rochester,2.95,10236.38,0.04745916,11371,54.6981044799999,8.381648426,27.057710501419113,1.254576371,0.2361325,2.962252,7.55,24.3
11,Spring,2022,259.9406448,30,0.741037296,1.535552352,GrandAvePark,High_Urban,21667,City of Rochester,2.95,10236.38,0.04745916,11371,54.6981044799999,8.381648426,27.057710501419113,1.254576371,0.2361325,2.962252,7.55,24.3
12,Fall,2021,125.729226,43,0.718049645,2.876923334,GreeceCanalPark,Low_Urban,33289,Monroe County,11.51,69175.62,0.017042565,790.6,4.40300069799999,19.61758847,27.63794772507261,1.721576827,0.2184955,2.531056,6.9,49
12,Fall,2022,84.2598302,33,0.739621741,2.778683171,GreeceCanalPark,Low_Urban,33289,Monroe County,11.51,69175.62,0.017042565,790.6,4.40300069799999,19.61758847,27.63794772507261,1.721576827,0.2184955,2.531056,6.9,49
12,Spring,2021,141.6432925,28,0.709425475,2.560377557,GreeceCanalPark,Low_Urban,33289,Monroe County,11.51,69175.62,0.017042565,790.6,4.40300069799999,19.61758847,27.63794772507261,1.721576827,0.2184955,2.531056,6.9,49
12,Spring,2022,82.729627,30,0.735058612,2.852418775,GreeceCanalPark,Low_Urban,33289,Monroe County,11.51,69175.62,0.017042565,790.6,4.40300069799999,19.61758847,27.63794772507261,1.721576827,0.2184955,2.531056,6.9,49
13,Fall,2021,132.7010432,31,0.373112871,2.15130002,GreenwoodPark,Low_Urban,91788,Town of Penfield,10.03,57723.13,0.024052576,2166.6,9.882751938,8.054152328,26.647966339410946,1.817792172,0.2246687,3.073068,7.18,36.7
13,Fall,2022,265.3961323,32,0.278501815,2.123423538,GreenwoodPark,Low_Urban,91788,Town of Penfield,10.03,57723.13,0.024052576,2166.6,9.882751938,8.054152328,26.647966339410946,1.817792172,0.2246687,3.073068,7.18,36.7
13,Spring,2021,100.548049,30,0.618275738,2.448591838,GreenwoodPark,Low_Urban,91788,Town of Penfield,10.03,57723.13,0.024052576,2166.6,9.882751938,8.054152328,26.647966339410946,1.817792172,0.2246687,3.073068,7.18,36.7
13,Spring,2022,69.74412325,31,0.622565591,2.08479383,GreenwoodPark,Low_Urban,91788,Town of Penfield,10.03,57723.13,0.024052576,2166.6,9.882751938,8.054152328,26.647966339410946,1.817792172,0.2246687,3.073068,7.18,36.7
14,Fall,2021,183.6020295,33,0.514496635,1.778794295,HighFallsTerracePark,High_Urban,15571,City of Rochester,0.82,15486.31,0.050465863,2858.3,66.61716318,19.86386325,26.66666666666668,1.362140745,0.2573585,3.403722,7.26,25.6
14,Fall,2022,0,0,1,0,HighFallsTerracePark,High_Urban,15571,City of Rochester,0.82,15486.31,0.050465863,2858.3,66.61716318,19.86386325,26.66666666666668,1.362140745,0.2573585,3.403722,7.26,25.6
14,Spring,2021,199.4273375,34,0.593885956,2.351811842,HighFallsTerracePark,High_Urban,15571,City of Rochester,0.82,15486.31,0.050465863,2858.3,66.61716318,19.86386325,26.66666666666668,1.362140745,0.2573585,3.403722,7.26,25.6
14,Spring,2022,167.5140295,44,0.64734492,2.203175101,HighFallsTerracePark,High_Urban,15571,City of Rochester,0.82,15486.31,0.050465863,2858.3,66.61716318,19.86386325,26.66666666666668,1.362140745,0.2573585,3.403722,7.26,25.6
15,Fall,2021,140.9776518,34,0.539217975,2.342413633,LambertonConservatory,Low_Urban,55750,City of Rochester,2.68,45001.72,0.024761054,4318.7,25.28542673,15.82311133,26.385483079941153,1.470320129,0.148818,1.954458,6.24,54.5
15,Fall,2022,468.8646475,50,0.519341315,2.251137591,LambertonConservatory,Low_Urban,55750,City of Rochester,2.68,45001.72,0.024761054,4318.7,25.28542673,15.82311133,26.385483079941153,1.470320129,0.148818,1.954458,6.24,54.5
15,Spring,2021,111.0172878,28,0.639588459,2.528876131,LambertonConservatory,Low_Urban,55750,City of Rochester,2.68,45001.72,0.024761054,4318.7,25.28542673,15.82311133,26.385483079941153,1.470320129,0.148818,1.954458,6.24,54.5
15,Spring,2022,76.365105,31,0.652238214,2.711869065,LambertonConservatory,Low_Urban,55750,City of Rochester,2.68,45001.72,0.024761054,4318.7,25.28542673,15.82311133,26.385483079941153,1.470320129,0.148818,1.954458,6.24,54.5
16,Fall,2021,253.688178,41,0.411527959,1.903859507,JonesSquarePark,High_Urban,13514,City of Rochester,2.18,28951.95,0.023876457,8557.9,58.64546226,17.98774434,26.97466467958271,1.398721544,0.2145617,3.068827,6.04,28.4
16,Fall,2022,300.0603348,41,0.370086785,2.028538217,JonesSquarePark,High_Urban,13514,City of Rochester,2.18,28951.95,0.023876457,8557.9,58.64546226,17.98774434,26.97466467958271,1.398721544,0.2145617,3.068827,6.04,28.4
16,Spring,2021,308.3110214,30,0.350170467,1.780170565,JonesSquarePark,High_Urban,13514,City of Rochester,2.18,28951.95,0.023876457,8557.9,58.64546226,17.98774434,26.97466467958271,1.398721544,0.2145617,3.068827,6.04,28.4
16,Spring,2022,138.0055195,41,0.643688038,2.837775319,JonesSquarePark,High_Urban,13514,City of Rochester,2.18,28951.95,0.023876457,8557.9,58.64546226,17.98774434,26.97466467958271,1.398721544,0.2145617,3.068827,6.04,28.4
18,Fall,2021,170.245953,40,0.334055028,2.371841601,LaSallesLandingPark,Low_Urban,91788,Town of Penfield,7.19,31758.9,0.034321718,1122.1,6.89083139099999,8.583787462,26.69950738916256,1.58470001,0.147487,1.97459,6.57,42
18,Fall,2022,317.641011,30,0.460621848,1.732361354,LaSallesLandingPark,Low_Urban,91788,Town of Penfield,7.19,31758.9,0.034321718,1122.1,6.89083139099999,8.583787462,26.69950738916256,1.58470001,0.147487,1.97459,6.57,42
18,Spring,2021,112.811124,41,0.669334711,2.721621188,LaSallesLandingPark,Low_Urban,91788,Town of Penfield,7.19,31758.9,0.034321718,1122.1,6.89083139099999,8.583787462,26.69950738916256,1.58470001,0.147487,1.97459,6.57,42
18,Spring,2022,176.8666598,37,0.523879916,2.204580839,LaSallesLandingPark,Low_Urban,91788,Town of Penfield,7.19,31758.9,0.034321718,1122.1,6.89083139099999,8.583787462,26.69950738916256,1.58470001,0.147487,1.97459,6.57,42
19,Fall,2021,68.69762225,32,0.754972444,2.637548854,LegionEyerPark,Low_Urban,31839,Town of East Rochester,11.95,78971.22,0.013885312,4170.9,18.12318069,17.43985769,29.2604501607717,1.635282196,0.2519693,3.760313,7.41,38.6
19,Fall,2022,212.5309373,30,0.400927339,1.896379439,LegionEyerPark,Low_Urban,31839,Town of East Rochester,11.95,78971.22,0.013885312,4170.9,18.12318069,17.43985769,29.2604501607717,1.635282196,0.2519693,3.760313,7.41,38.6
19,Spring,2021,72.291346,26,0.771627588,2.303536845,LegionEyerPark,Low_Urban,31839,Town of East Rochester,11.95,78971.22,0.013885312,4170.9,18.12318069,17.43985769,29.2604501607717,1.635282196,0.2519693,3.760313,7.41,38.6
19,Spring,2022,101.6749505,14,0.467118111,0.84439459,LegionEyerPark,Low_Urban,31839,Town of East Rochester,11.95,78971.22,0.013885312,4170.9,18.12318069,17.43985769,29.2604501607717,1.635282196,0.2519693,3.760313,7.41,38.6
20,Fall,2021,185.9293676,39,0.694001796,3.025412986,LookupPark,Low_Urban,73475,Town of Henrietta,12.21,159498.8,0.01306944,1784.9,8.98716486,14.52648903,30.314585319351767,1.701364364,0.3610481,4.509291,7.59,38.1
20,Fall,2022,-735.785947,19,0.625157905,1.734964153,LookupPark,Low_Urban,73475,Town of Henrietta,12.21,159498.8,0.01306944,1784.9,8.98716486,14.52648903,30.314585319351767,1.701364364,0.3610481,4.509291,7.59,38.1
20,Spring,2021,124.9930408,42,0.761611967,2.919355972,LookupPark,Low_Urban,73475,Town of Henrietta,12.21,159498.8,0.01306944,1784.9,8.98716486,14.52648903,30.314585319351767,1.701364364,0.3610481,4.509291,7.59,38.1
20,Spring,2022,48.54719275,34,0.800693989,2.721774672,LookupPark,Low_Urban,73475,Town of Henrietta,12.21,159498.8,0.01306944,1784.9,8.98716486,14.52648903,30.314585319351767,1.701364364,0.3610481,4.509291,7.59,38.1
22,Fall,2021,133.2289713,41,0.667673584,2.654634988,MaplewoodPark,Low_Urban,34565,City of Rochester,3.43,40908.84,0.020882284,2460.1,42.93470919,16.442983,27.48054474708171,1.437385223,0.3018305,4.059877,6.17,48.4
22,Fall,2022,199.1448073,36,0.552757719,2.818579607,MaplewoodPark,Low_Urban,34565,City of Rochester,3.43,40908.84,0.020882284,2460.1,42.93470919,16.442983,27.48054474708171,1.437385223,0.3018305,4.059877,6.17,48.4
22,Spring,2021,170.3703918,32,0.605138298,2.048155346,MaplewoodPark,Low_Urban,34565,City of Rochester,3.43,40908.84,0.020882284,2460.1,42.93470919,16.442983,27.48054474708171,1.437385223,0.3018305,4.059877,6.17,48.4
22,Spring,2022,90.98881625,39,0.710952766,2.848628074,MaplewoodPark,Low_Urban,34565,City of Rochester,3.43,40908.84,0.020882284,2460.1,42.93470919,16.442983,27.48054474708171,1.437385223,0.3018305,4.059877,6.17,48.4
23,Fall,2021,245.5043993,43,0.376452092,2.5046992,MendonCenterPark,Low_Urban,114359,Town of Mendon,17.93,8822.21,0.043735073,186.5,0.626185957999999,13.99133641,28.15579540122008,1.739279139,0.3378966,4.988034,6.91,47.1
23,Fall,2022,363.6573768,41,0.438506081,2.251632806,MendonCenterPark,Low_Urban,114359,Town of Mendon,17.93,8822.21,0.043735073,186.5,0.626185957999999,13.99133641,28.15579540122008,1.739279139,0.3378966,4.988034,6.91,47.1
23,Spring,2021,301.909125,42,0.298171293,2.275116266,MendonCenterPark,Low_Urban,114359,Town of Mendon,17.93,8822.21,0.043735073,186.5,0.626185957999999,13.99133641,28.15579540122008,1.739279139,0.3378966,4.988034,6.91,47.1
23,Spring,2022,95.3993405,42,0.623625273,2.795940275,MendonCenterPark,Low_Urban,114359,Town of Mendon,17.93,8822.21,0.043735073,186.5,0.626185957999999,13.99133641,28.15579540122008,1.739279139,0.3378966,4.988034,6.91,47.1
24,Fall,2021,373.1816013,52,0.384184341,2.546992636,MendonStationPark,Low_Urban,114359,Town of Mendon,19.55,853.69,0.14729,182,0.32887411,10.90732668,27.79904306220095,1.438835142,0.5472242,11.45938,7.42,57.3
24,Fall,2022,876.7315083,50,0.651283175,2.427073729,MendonStationPark,Low_Urban,114359,Town of Mendon,19.55,853.69,0.14729,182,0.32887411,10.90732668,27.79904306220095,1.438835142,0.5472242,11.45938,7.42,57.3
24,Spring,2021,200.8802488,47,0.475471933,2.780724794,MendonStationPark,Low_Urban,114359,Town of Mendon,19.55,853.69,0.14729,182,0.32887411,10.90732668,27.79904306220095,1.438835142,0.5472242,11.45938,7.42,57.3
